,Question Number,Question,Number,Answer Number,Answer
31,Question 4.38,"(**) You are making chocolate chip cookies. You add Nchips
randomly to the cookie dough, and you randomly split the dough into 100
equal cookies. How many chips should go into the dough to give a probability
of at least 90% that every cookie has at least one chip?",4.38,Answer 4.38,"The nature of the problem allows us to practice many diﬀerent
skills: statistical inference, probability, combinatorics, recursion, induction,
algebraic approximations, etc.
This question is a particular case of a more general question: How many chips,
N, should go randomly into some cookie dough to give a probability of at least
pthat each of kcookies randomly cut from the batch contains at least mchips?
The interviewer’s particular case uses the high probability p=0.90 and the
low hurdle m=1c h i p sp e rc o o k i e .
Well, if you have fewer than 100 chips, then at least one cookie does not have
ac h i p ,s o1 0 0i st h el o w e rb o u n do na n yf e a s i b l ea n s w e r .Y o us h o u l dt a k ea n
initial gut instinct guess before any formal analysis. My gut instinct is that
something like N= 500 chips is enough because I would then be fairly sure
that each cookie in the batch gets a chip. Is 500 enough? We will look at two
exact solutions and several approximations to ﬁnd out.
EXACT SOLUT IONS
#1: Inclusion-Exclusion.24Ifpis the probability that every cookie has at
least m=1c h i p s ,t h e n1 −pis the probability of the event that some cookie
has no chips. This event in turn is a union of events involving individual
cookies having no chips. Let A0
ibe the event that cookie ihas no chips, then
the inclusion-exclusion formula (see discussion on p. 132) yields
1−p=P/p⎬renleft⎜ig
A0
1∪A0
2∪···∪ A0
k/p⎬renright⎜ig
=P/p⎬renleft⎜iggk/uniondispl⎬y
i=1A0
i/p⎬renright⎜igg
=k/summ⎬tiondispl⎬y
i=1P/p⎬renleft⎜ig
A0
i/p⎬renright⎜ig
−/summ⎬tiondispl⎬y
1≤i<j≤kP/p⎬renleft⎜ig
A0
i∩A0
j/p⎬renright⎜ig
+
/summ⎬tiondispl⎬y
1≤i<j<l ≤kP/p⎬renleft⎜ig
A0
i∩A0
j∩A0
l/p⎬renright⎜ig
−···+(−1)k+1P/p⎬renleft⎜ig
A0
1∩A0
2∩···∩ A0
k/p⎬renright⎜ig
=k/summ⎬tiondispl⎬y
i=1(−1)i+1/summ⎬tiondispl⎬y
{j1,j2,...,ji}⊆{1,2,...,k}
j1<j2<···<jiP⎛
⎝/intersectiondispl⎬y
j∈{j1,j2,...,j i}A0
j⎞
⎠.
23Lyons and Hutcheson (1996).
24I thank Nate Coehlo for suggesting this approach; any errors are mine.
©2021 Timothy Falcon Crack 318 All Rights Reserved Worldwide"
32,Question 4.39,"You will roll a fair die until the game stops. The game stops
when you get a 4, 5, or 6. For every number 1, 2, or 3 you have thrown
your score increases by +1. If the game stops with a 4 or 5, you get paid the
accumulated score. If the game stops with a 6 you get nothing. What is the
expected payoﬀ of this game?",4.39,Answer 4.39,"Ip r e s e n tt w os o l u t i o n s : t h eﬁ r s ti saf u l l“ h a m m e r - a n d - t o n g s ”
solution; the second uses a recursive argument similar to Answer 4.15. Ques-
tions requiring recursive proofs have become popular in interviews; look up
“recursive argument” in the index to ﬁnd other examples in this book.
FIRST SOLUT ION
When the game stops (i.e., you rolled a 4, 5, or 6), you have a2
3chance of
seeing the accumulated score (i.e., you got a 4 or 5 out of a possible 4, 5, or
6 to stop the game). The accumulated score is 0 with probability1
2,1w i t h
probability/p⎬renleft⎜ig
1
2/p⎬renright⎜ig2,2w i t hp r o b a b i l i t y/p⎬renleft⎜ig
1
2/p⎬renright⎜ig3,a n ds oo n .S o ,t h ee x p e c t e dp a y o ﬀ
is given by
2
3·∞/summ⎬tiondispl⎬y
i=0j·/p⎬renleft⎭igg1
2/p⎬renright⎭iggj+1
=1
3·∞/summ⎬tiondispl⎬y
i=0j
2j=2
3,
27LetNibe the number of chips in the ithcookie. Then, for N= 683 and k= 100 the events
A=(Ni≥m) and B=(Nj≥m) for i̸=jare eﬀectively numerically indistinguishable from
independent for small m. I simulatedP(A)·P(B)
P(A∩B )for various mand found the ratio was 1 ±0.000001
form= 1, 1 ±0.0001 for m= 2, 1 ±0.0002 for m= 3, 1 ±0.0003 for m= 4, 1 ±0.001 for m= 5,
using the result that %?
i=0
j
2j = 2 (see Footnote 11 on p. 111).
SECON D SOLUT ION 28
Let N be the random number of times you roll a 1, 2, or 3, before a 4, 5, or
6 appears. If you now roll the die once, there is a half a chance that N = 0
and the game stops, and there is a half a chance that you get a 1, 2, or 3,
and you are otherwise recursively back where you started (expecting to roll
an additional E(N) 1�s, 2�s, or 3�s before the game ends). If we write this
algebraically, we get
E(N) = 5
0 �
1
2
6
+
G
(1 + E(N)) �
1
2
H
.
We can solve this directly to get E(N) = 1.29 When the game does end, we
get paid only if we roll a 4 or 5. In other words, conditional upon the game
ending, we have a two thirds chance of being paid N. Our expected payoff is
thus 2
3 � E(N) = 2
3 , as before.
1±0.02 for m= 6–10, 1 ±0.10 for m=1 1 – 1 6 ,a n dt o or a r et os i m u l a t ef o r m≥17.
©2021 Timothy Falcon Crack 322 All Rights Reserved Worldwide"
33,Question 4.4,"Suppose that X∼N(µ, σ2), as in the previous question. What is
E/p⎬renleft⎭igX2/p⎬renright⎭ig?1",4.4,Answer 4.4,"Suppose that X∼N(µ, σ2), as in the previous question, then
E/p⎬renleft⎭igX2/p⎬renright⎭ig=µ2+σ2. I ﬁnd this particularly easy to remember because of the
symmetry in the answer. Note, of course, that this result can be deduced
directly from the widely used result
var(X)=E/p⎬renleft⎜ig
X2/p⎬renright⎜ig
−[E(X)]2,
just by solving for E/p⎬renleft⎭igX2/p⎬renright⎭ig.
The raw, or “non-central,” moments E(Xn),n∈Z,n≥0 are quite messy.
So, let me calculate the easier central moment E[(X−µ)n]r e s u l tﬁ r s t ,a n d
then derive a formula for the non-central moments (which depends upon the
central moments in the standard normal case), and then I will give a table of
both the central and non-central moments up to order 10.
IfX∼N(µ, σ2), then ( X−µ)∼N(0,σ2), and we deduce from the derivation
in Answer 2.31 that the central moments are given by
E[(X−µ)n]=/⎭r⎬celeft⎜igg
0, ifn>0o d d
σn(n−1)!!,ifn>0e v e n ,(D.1)
where the double exclamation denotes the double factorial, as deﬁned in Foot-
note 44 on p. 233. Of course, the zero result when nis odd follows immediately
by symmetry.
Now note that if X∼N(µ, σ2), then X=σZ+µ,w h e r e Z∼N(0,1). It
©2021 Timothy Falcon Crack 289 All Rights Reserved Worldwide"
34,Question 4.40,"Take a stick and break it randomly into three pieces (i.e., two
randomly placed breaks on the stick). What is the probability you can form
a triangle from the pieces?",4.4,Answer 4.40,"I ﬁrst heard about the “broken stick problem” appearing in MBA
interviews back in the early 1990’s. It is still used today. This classic question
deserves justice here.
Let me present two solutions for obtaining the probability that a triangle can
be formed from three bits. The ﬁrst solution is based on a general proof using
polygons and polytopes due to Bull (1948) and I shall draw upon that solution
to answer the next question. The second solution is much shorter and is an
expansion of an equivalent argument using just a circle (Rushton, 1949).
FIRST SOLUT ION
Bull (1948) considers the case where a stick is broken randomly into npieces.
He says that a necessary and suﬃcient condition for a polygon of nor fewer
angles to be made out of the npieces is that no one piece can be of a length
that exceeds the sum of the lengths of the others. Equivalently, each piece
must be not greater in length than half the length of the stick.30
Following Bull... ...let x,y,a n d1 −x−ydenote the lengths of the three
separate pieces formed from a stick of unit length. If xandyare taken as axes
of coordinates in two dimensions, then all ways of breaking the stick (regardless
of whether a triangle can be formed or not) are represented by points inside
and on the triangle formed by the coordinate axes and the line x+y=1
(i.e., the boundary and interior of the triangle O–A1–A2in Figure D.5). If
this statement is not immediately obvious, then think of it as follows. There
28It h a n kS i m o nW e s tf o rs u g g e s t i n gt h i st e c h n i q u e ;a n ye r r o r sa r em i n e .
29Alternatively, we may use the geometric distribution, as we did in Answers 4.1 and 4.13, with
p=1 / 2 ,t oﬁ n d E(N+1) = 1/ p= 2. I thank Mark Cawston for discussions regarding this answer;
any errors are mine.
30Bull implicitly allows for two degenerate cases: triangles with zero area when one piece has
length1
2; and, one or two pieces having zero length. For randomly placed breaks, these cases
happen with probability zero; my allowing them does not change the ﬁnal answer.
©2021 Timothy Falcon Crack 323 All Rights Reserved Worldwide"
35,Question 4.41,"(**)Av a r i a t i o no nt h ep r e v i o u sq u e s t i o n : W h a ti st h ee x p e c t e d
length of the longest piece?10",4.41,Answer 4.41,"FIRST SOLUT ION
Unlike Answer 4.40, a triangle need not be formed here. To derive the pdf for
the longest piece we will derive the cdf ﬁrst and then diﬀerentiate it. We shall
work with the properties of Figure D.5.
LetLdenote the random longest piece, and ldenote a particular value of L.
We want to ﬁnd the cdf FL(l)=P(L≤l).We know that L≡max( x, y,1−
x−y), so the event L≤lhappens if and only if x≤l,y≤land 1 −x−y≤l.
The latter may be rearranged as x+y≥1−l.F o l l o w i n g t h e a r g u m e n t s i n
Answer 1.40, we need only ﬁnd the relative area contained within the region
bounded by the lines x=l,y=landx+y=1−l(but also within the
original triangle O–A1–A2) in Figure D.5. There are two cases: 0 .5≤l≤1
(see Figure D.7), and1
3≤l≤0.5( s e eF i g u r eD . 8 ) . T h e s ec o r r e s p o n dt ot h e
cases where you cannot, and can, respectively, form a triangle from the pieces.
The ﬁgure captions contain the algebra. The cdf of the longest piece is
FL(l)=/⎭r⎬celeft⎜igg
[1−3(1−l)2],0.5≤l≤1
(3l−1)2,1
3≤l≤0.5,
and the pdf of the length of the longest piece is33
fL(l)=/⎭r⎬celeft⎜igg
6(1−l),0.5≤l≤1
6(3l−1),1
3≤l≤0.5.
So, the expected length of the longest piece of broken stick is
E(L)=/integr⎬ldispl⎬y1
1
3l·fL(l)dl=/integr⎬ldispl⎬y0.5
1
3l·6(3l−1)dl+/integr⎬ldispl⎬y1
0.5l·6(1−l)dl
=/p⎬renleft⎜ig
6l3−3l2/p⎬renright⎜ig/vextendsingle/vextendsingle/vextendsingle/vextendsingle0.5
1
3+/p⎬renleft⎜ig
3l2−2l3/p⎬renright⎜ig/vextendsingle/vextendsingle/vextendsingle/vextendsingle1
0.5
=/⎭r⎬cketleft⎭igg/p⎬renleft⎭igg6
8−3
4/p⎬renright⎭igg
−/p⎬renleft⎭igg6
27−3
9/p⎬renright⎭igg/⎭r⎬cketright⎭igg
+/⎭r⎬cketleft⎭igg
(3−2)−/p⎬renleft⎭igg3
4−2
8/p⎬renright⎭igg/⎭r⎬cketright⎭igg
=11
18.
Il e a v ey o ut ou s et h es a m et e c h n i q u et oc o n ﬁ r mt h a tt h ee x p e c t e dl e n g t h S
of the shortest piece34isE(S)=2
18=1
9.
SECOND SOLUT ION35
For an alternative derivation of the pdf for the length of the longest piece,
assume, without loss of generality, that xis the longest piece. If so, then ( x, y)
falls within the diagonal-hatched kite-shaped region of Figure D.9 bounded
by the inequalities x≥y,2x+y≥1( i . e . , x≥1−x−y),x+y≤1, and
y≥0. The vertices of this kite are at (0 .5,0), (1 ,0), (0 .5,0.5), and (1
3,1
3). The
33Can you sketch the pdf to conﬁrm that it is right-skewed and triangular?
34There is only one case. I get FS(s)=[ 1 −(1−3s)2], and fS(s)=6 ( 1 −3s), for 0 ≤s≤1
3.I
deduce that E(M)=5
18for the middle-length piece because E(S+M+L) = 1.
35It h a n kM r .L e ef o rs u g g e s t i n gt h i st e c h n i q u e ;a n ye r r o r sa r em i n e .
©2021 Timothy Falcon Crack 327 All Rights Reserved Worldwide"
36,Question 4.42,"Consider four boxes in a row numbered 1, 2, 3, and 4. You start
with a pebble in Box 1. We toss a fair coin. If it is heads you move the pebble
forward one step to Box 2, but if it is tails you move the pebble forward two
steps to Box 3. Then we toss the coin again. If it is heads, you move the
pebble back to Box 1, but if it is tails you advance it to Box 4. If you reach
Box 4 the game is over. If you are back in Box 1, however, then we toss again
following the same rules. What is the expected number of coin tosses it will
take to reach Box 4?",4.42,Answer 4.42,"Like Question 4.39, this question can be solved using inﬁnite series,
or using a simple recursion proof.
FIRST SOLUT ION
There is a1
2chance that the game ends with two tosses, a/p⎬renleft⎜ig
1
2/p⎬renright⎜ig2chance that it
ends with four tosses, a/p⎬renleft⎜ig
1
2/p⎬renright⎜ig3chance that it ends with six tosses, ... ..., a/p⎬renleft⎜ig
1
2/p⎬renright⎜ign
chance that it ends with 2 ntosses, and so on. Thus the expected number N
of tosses is
E(N)=∞/summ⎬tiondispl⎬y
i=12n·/p⎬renleft⎭igg1
2/p⎬renright⎭iggn
=∞/summ⎬tiondispl⎬y
i=12n
2n=4,
using the result that/summ⎬tiontext∞
i=0n
2n=2( s e eF o o t n o t e1 1o np .1 1 1 ) .
SECOND SOLUT ION LetNbe the number of coin tosses required to
reach Box 4. After two coin tosses, there is a half a chance that you are in
Box 4 and the game is over after two tosses, and a half a chance that you are
recursively back at the beginning again still expecting E(N) more tosses:
E(N)=/p⎬renleft⎭igg
2·1
2/p⎬renright⎭igg
+/⎭r⎬cketleft⎭igg
(2 + E(N))·1
2/⎭r⎬cketright⎭igg
.
We can solve this directly to get E(N)=4 ."
37,Question 4.43,"/_387 It e l ly o ut h a tIh a v et w oc h i l d r e na n dt h a ta tl e a s to n eo ft h e m
is a girl. What is the probability that I have two girls? Assume that boys
and girls are equally likely to be born and that the gender of one child is
independent of gender of another.",4.43,Answer 4.43,"You know only that I have two children and that one is a girl. My
family has (implicitly) conducted two Bernoulli trials. Without the informa-
tion that one child is a girl, there are four possible equally likely outcomes: GG,
GB, BG, BB. With the information that one child is a girl, the last outcome is
excluded, and the sample space describing the randomness you are confronted
with is three equally likely outcomes: GG, GB, BG. The probability of GG is
thus1
3. See Answer 4.44 for more details.
Story: “During his interview with me, a candidate bit his ﬁngernails and
proceeded to bleed onto his tie. When I asked him if he wanted a Band-
Aid, he said that he chewed his nails all the time and that he’d be ﬁne. He
continued to chew away. ”
Audrey W. Hellinger
Chicago Oﬃce of Martin H. Bauman
Associates, New York
“Doomed Days: The Worst Mistakes Recruiters Have Ever Seen,”
The Wall Street Journal ,F e b r u a r y2 5 ,1 9 9 5 ,p R 4 .
Reprinted by permission of The Wall Street Journal
©1995 Dow Jones and Company, Inc.
All Rights Reserved Worldwide."
38,Question 4.44,"It e l ly o ut h a tIh a v et w oc h i l d r e na n dt h a to n eo ft h e mi sa
girl (I say nothing about the other). You knock on my front door and you
are greeted by a girl who you correctly deduce to be my daughter. What is
the probability that I have two girls? Compare and contrast your answer to
the answer to the previous question. Assume that boys and girls are equally
likely to be born and that the gender of one child is independent of gender of
another.",4.44,Answer 4.44,"You know only that I have two children and that one is a girl you
are facing at my front door. Now the argument changes from the previous
question. The only randomness is the gender of the child you cannot see. The
©2021 Timothy Falcon Crack 331 All Rights Reserved Worldwide"
39,Question 4.45,"You and I are to meet tomorrow under the big clock at the train
station. We have agreed to meet somewhere between 1 pmand 2 pm.W eh a v e
agreed that each of us will wait no more than 15 minutes for the other, and
that neither of us will arrive before 1 pmor remain after 2 pm.W h a t i s t h e
probability that we will actually meet?
10...and what about the expected length of the shortest piece? ...or the medium piece?
©2021 Timothy Falcon Crack 85 All Rights Reserved Worldwide",4.45,Answer 4.45,"To ﬁgure out the probability that we will meet under the big
clock, I have assumed that we arrive randomly in the interval 1 pm–2pm.F o r
each moment of that hour, I have asked myself the following question. If
I arrive at that moment, when would you have to arrive in order for us to
meet? The answer is shaded in Figure D.10, where for each of my arrival
times x(on the horizontal), I have shaded on the vertical the time range from
ymin(x)=m a x ( 1 pm,x−15 minutes) to ymax(x)=m i n ( 2 pm,x+1 5m i n u t e s ) .
If I arrive at time xand you arrive at time y(x)∈[ymin(x),ymax(x)], then we
shall meet.
From Figure D.10 we see that the probability we meet is the ratio of the area
of the shaded region (mutual arrival times when we meet) divided by the area
of the square (all possible mutual arrival times):7
16."
40,Question 4.46,"A single fair coin is tossed until either three heads are seen or un-
til three tails are seen. The three heads or three tails need not be consecutive.
What is the expected number of tosses in the game?",4.46,Answer 4.46,"To obtain three heads or three tails, the coin must be tossed a
minimum of three times. At most ﬁve tosses are required, because it is impos-
sible to toss the coin ﬁve times without obtaining three matching outcomes.
So, the game will stop after either three, four, or ﬁve tosses.
©2021 Timothy Falcon Crack 332 All Rights Reserved Worldwide"
41,Question 4.47,"If the coin in Question 4.46 is biased, is the expected number of
tosses to get “three of the same” going to be greater or less than it was with
the unbiased coin?",4.47,Answer 4.47,"A bias towards either heads or tails in the coin in Question 4.46
is a bias in favor of “more of the same.” Given that the stopping rule is “three
of the same,” the expected number of tosses required to end the game must
decrease in this case.
So, if the probability of a head is one-half, and Tis the number of tosses
required to end the game, E(T)=41
8, and it cannot be higher. If, however, the
probability of a head is two-thirds (or, given symmetry, if it is one-third), the
expected number of tosses to end the game drops to E(T)=1 0 7 / 2 7 ≈3.96. If
the probability of a head is 3/4 (or, given symmetry, if it is 1/4), the expected
number of tosses to end the game drops to E(T)=4 8 3 / 1 2 8 ≈3.77. If the
probability of a head is one (or, given symmetry, if it is zero), the expected
number of tosses to end the game drops to E(T)=3 ,a n di tc a n n o tb el o w e r ."
42,Question 4.48,"LetL(N)b et h el e n g t ho ft h el o n g e s tr u no fc o n s e c u t i v eh e a d s
or tails in Ntosses of a fair coin. So, for example, if N=7 ,a n dt h eo u t c o m e s
are HHTHHHT, then L= 3 in this case. What is E[L(5)]−E[L(4)]? Please
give your answer to four decimal places, and you may not use a calculator.",4.48,Answer 4.48,"The mathematics for the length of longest runs in the general case
ofNtosses is quite complex (Binswanger and Embrechts, 1994). The case of
four or ﬁve tosses is, however, quite manageable.
In the case N=4 ,t h el o n g e s tr u n sm u s tb eo fl e n g t ho n e ,t w o ,t h r e e ,o r
four. A quick sketch of the tree, with 16 possible outcomes, reveals two runs
of length one (HTHT, and the same with H and T transposed), eight runs
of length two (HHTH, HHTT, HTHH, HTTH, and the same with H and T
transposed), four runs of length three (HHHT, HTTT, and the same with H
and T transposed), and two runs of length four (HHHH, and the same with
©2021 Timothy Falcon Crack 334 All Rights Reserved Worldwide"
43,Question 4.49,"You are going to roll three fair dice. What is the probability that
the diﬀerence between the highest and lowest numbers showing is exactly four?
Please give the answer to three decimal places, without using a calculator.",4.49,Answer 4.49,"There are 63= 216 distinct outcomes from rolling three dice. For
the diﬀerence between the maximum and minimum outcomes of three dice
(i.e., the range) to be exactly four, you must either have a maximum of a 6
and a minimum or a 2, or a maximum or a 5 and a minimum of a 1.
Let us consider the ﬁrst case (max=6, min=2). What is the third number? It
must be a 2, 3, 4, 5, or 6. So, the unordered outcomes are 226, 236, 246, 256,
and 266. Paying attention to order, the ﬁrst can occur three ways (i.e., the
6 is ﬁrst, second, or third), the next three can be permuted in six ways each,
and the last can occur in three ways (i.e., the 2 is ﬁrst, second, or third). So,
there are 3+18+3=24 ways to obtain a range of exactly four, with a maximum
of a 6 and a minimum of a 2.
Similarly, there are 24 diﬀerent ways to obtain a range of exactly four when
the maximum is a 5 and the minimum is a 1. So, there are 48 p ossible ways,
out of 216, to obtain a range of exactly four. After some simpliﬁcations, we
see that48
216=2 / 9 .
©2021 Timothy Falcon Crack 335 All Rights Reserved Worldwide"
44,Question 4.5,"Suppose that XandYare independent random variables each
distributed standard normal: X∼N(0,1), and Y∼N(0,1). What are the
variance and the standard deviation of X−Y.",4.5,Answer 4.5,"Suppose that XandYare independent random variables each dis-
tributed standard normal: X∼N(0,1), and Y∼N(0,1). What are the
variance and the standard deviation of X−Y?
Is u s p e c tt h a tt h em i n u ss i g nc o n f u s e ss o m ep e o p l e . J u s tr e m e m b e rt h a tw h e n
random variables are independent, the variance of the sum is the sum of the
variances. Also, recall that var( aY)=a2var(Y)f o rc o n s t a n t aand random
©2021 Timothy Falcon Crack 290 All Rights Reserved Worldwide"
45,Question 4.50,"LetP(N)b et h ep o p u l a t i o no fs o m ee n d a n g e r e ds p e c i e s . S u p -
pose that P(0) = 100, but that with each generation, either the population
doubles, or the population is destroyed:
P(N+1 )=/⎭r⎬celeft⎜igg
2×P(N) with probability 0 .5
0×P(N) with probability 0 .5.
What is the expected number of generations until extinction?",4.5,Answer 4.50,"The initial value P(0) = 100 is irrelevant, except that it is non-
zero. With these odds, the population will not last long at all.
LetGbe the number of generations until extinction. Then there is half a
chance that the population will be extinct in one generation, and half a chance
that it will survive for one more generation (and we then we are faced with
the same question again). So, a simple recursion says that
E(G)=/p⎬renleft⎭igg1
2·1/p⎬renright⎭igg
+/⎭r⎬cketleft⎭igg1
2·(1 + E(G))/⎭r⎬cketright⎭igg
.
Solving for E(G)y i e l d s E(G)=2 .
Note that this question is analogous to Question 4.39. So, we can use the
geometric distribution argument to ﬁnd E(G)=1 / p=1/sl⎬sh⎜ig
1
2=2,as done
there."
46,Question 4.51,"There are seven coins arranged in a circle. Every coin is heads-
up. Your goal is to ﬂip every coin so that it is heads-down. You may, however,
only ﬂip groups of three adjacent coins. You may ﬂip any such group of three
coins, and you may ﬂip as many such groups as you choose, one group at a
time. What is the minimum number of groups of three coins you can ﬂip in
order to ﬂip every coin so that it is heads-down?11",4.51,Answer 4.51,"Given Ccoins, and the requirement that you ﬂip them in groups
ofgadjacent coins, let us assume that C≥3 (ignoring the very simple cases
C=1a n d C=2 ) . L e tu sa l s oa s s u m et h a t1 ≤g≤C.( I f g>C ,w ec a n
think of gin modulo- Cterms, looking at the coins that do get ﬂipped.)
Letgcd(C, g)d e n o t et h eg r e a t e s tc o m m o nd i v i s o ro f Candg. For example,
gcd(7,3) = 1, but gcd(12,9) = 3. Let me begin with the speciﬁc case where
gcd(C, g)=1a n d gis odd. Our particular case ( C=7,g=3 )s a t i s ﬁ e st h e s e
assumptions.
Let us number the coins from 1 to C,l i k et h en u m b e r so ft h eh o u r so na n
analog clock face with Chours. Let the coin in the middle of any group of
gcoins to be ﬂipped be our reference point (recall that we are assuming gis
odd, so a middle coin exists). There are Csuch possible reference points.
Let us pick a coin ﬂipping strategy. For any reference coin c,s a y ,w eh a v et o
choose whether to ﬂip the group centered on cor not. Note that the order
of our ﬂipping decisions is irrelevant because either two groups of coins to be
ﬂipped do not overlap, and so order is unimportant, or two groups of coins to
be ﬂipped do overlap, in which case, any coin in the overlap is ﬂipped twice,
and is left unchanged regardless of the order of the ﬂips. Note also that we
would never ﬂip any group more than once, because all that does is consume
©2021 Timothy Falcon Crack 336 All Rights Reserved Worldwide"
47,Question 4.52,"You are going to roll three dice. What is the probability that
the highest of the three numbers will be exactly a 4? Please give your answer
to three decimals without using a calculator.",4.52,Answer 4.52,"In order for the maximum of three dice outcomes to be a four, the
maximum must be less than or equal to 4, but not less than or equal to 3. So,
P(max = 4) = P(max ≤4)−P(max ≤3)
=/p⎬renleft⎭igg4
6·4
6·4
6/p⎬renright⎭igg
−/p⎬renleft⎭igg3
6·3
6·3
6/p⎬renright⎭igg
=43−33
63=64−27
216=37
216,
using the independence of the dice rolls, and the fact that if the maximum is
©2021 Timothy Falcon Crack 338 All Rights Reserved Worldwide"
48,Question 4.53,"You are on vacation in a foreign country. You are sitting in a
restaurant looking out the window. Your waiter tells you that the bus service
stopping outside your restaurant window arrives as a Poisson process. As you
eat your ﬁshcakes, you pull out your stopwatch and you time two minutes
between the arrival of the ﬁrst and second bus that you see, and then 12
minutes between the second and third bus. Seven minutes passes after the
arrival of the third bus, and the fourth bus is not yet in sight. Stop now and
estimate the arrival rate λof the Poisson process.
11I have also heard of this question asked with reference to a rotating circular chandelier, with
seven illuminated light bulbs that you are trying to extinguish, and a switch that ﬂips the state of
the three nearest adjacent light bulbs. In practice, it is much easier to play with the problem at
home using coins than using light bulbs.
©2021 Timothy Falcon Crack 86 All Rights Reserved Worldwide",4.53,Answer 4.53,"A Poisson process exhibits a random arrival (or departure, or other
event) pattern as follows: First, the number of arrivals in any two disjoint
intervals of time must be independent of each other; second, for a very short
time interval δt, the probability of at least one arrival during that interval is
roughly proportional to the length of the time interval: λδt+o(δt), where
λis the intensity, or arrival rate, of the process and o(δt)i saf u n c t i o nt h a t
approaches zero as δt→0; and third, the probability that there are more than
one arrivals during time interval δtis also o(δt)( D e G r o o t ,1 9 8 9 ,p p .2 5 4 – 2 5 5 ) .
Under these assumptions, the inter-arrival times Xiof a Poisson process are
distributed exponential, fX(x)=λe−λxforx≥0, where λis the arrival rate,
and the mean of Xiis 1/ λ(DeGroot, 1989, p. 290).
The count of occurrences in any ﬁxed interval of time of length δtwill be
distributed Poisson with mean λδt(DeGroot, 1989, p. 255).36
36Yhas a Poisson distribution with mean θ>0i ffY(y)=e−θθy
y!fory=0,1,2,...and zero
otherwise (DeGroot, 1989, p. 252).
©2021 Timothy Falcon Crack 339 All Rights Reserved Worldwide"
49,Question 4.54,"Your car has broken down in the desert. You call a friend who
laughs and tells you that the probability of seeing a car (i.e., N≥1 cars)
passing by during any hour is 36%. What is the probability that you will see
ac a rd r i v eb yi nt h en e x th a l f - h o u r ?",4.54,Answer 4.54,"Letpbe the probability of seeing any car drive by in 30 minutes.
I want to relate pto the stated probability of seeing any car drive by during
one hour. Let us assume that cars arrive as a Poisson process, with a ﬁxed
rate of arrivals per unit time and independent arrivals in any non-overlapping
periods. Then the probability of no cars in one hour is the product of the
probability of no cars in each half-hour. We are using the result that P(A∩
B)=P(A)P(B)i fAandBare independent events—and in this case each
event is the complement of the event that a car arrives in the non-overlapping
half hours. So, we deduce that 1 −0.36 = (1 −p)(1−p). It follows that
p=0.20.
Note that the naive answer here is to simply conclude that p(probability of
a car in 30 minutes) equals half the 36% number (i.e., half the probability of
ac a ri n6 0m i n u t e s ) . T h i si sn o ts e n s i b l e ,f o rt h es a m er e a s o nt h a t p=0.20
in the next 30 minutes does not yield p=1.00 in the next 2.5 hours, or
p=1.20 (impossible) in the next three hours: the probability of independent
events is not additive. Note that the probability of mutually exclusive events
is additive, but mutually exclusive events cannot be independent (unless at
least one occurs with probability zero)."
50,Question 4.55,"Italy is playing the U.S.A. in a football World Cup match. A
successful pass is when a player on one team kicks the ball to a player on their
team and it is not intercepted by the opposition. Is it possible for Italy to
have a higher proportion of its passes be successful than the U.S. in both the
ﬁrst and second halves, and yet for the U.S. to have a higher proportion of its
passes be successful over the game as a whole?",4.55,Answer 4.55,"Yes, this is an example of something called Simpson’s Paradox
(DeGroot, 1989, p. 548). There are several slightly diﬀerent ﬂavors of Simp-
son’s Paradox. They are each special cases of “statistical mix eﬀects” (Arm-
strong and Wattenberg, 2014). Mix eﬀects mean that aggregate numbers can
be aﬀected by changes in the relative size of subpopulations as well as the rel-
ative values within those subpopulations (Armstrong and Wattenberg, 2014).
In the case at hand, suppose Italy made 120 passes in the ﬁrst half, with 60
being successful (50%), and the U.S. made 50 passes, with only 10 being suc-
cessful (20%). In the second half, suppose Italy improved, making 60 passes,
with all 60 being successful (100%), and the U.S. also improved, making 200
passes with 190 being successful (95%). Italy looked better in each half, but
over the match as a whole, Italy had only a 66 .6˙6% success rate (120/180),
whereas the U.S. had an 80% success rate (200/250).
Armstrong and Wattenberg (2014) give the famous example of UC Berkeley
graduate admissions. It was found that 44% of male applicants were accepted,
whereas only 35% of female applicants were accepted. Rather than being
discrimination by Berkeley, however, departments with higher acceptance rates
had proportionally more male applicants. In fact, by disaggregating the data,
©2021 Timothy Falcon Crack 340 All Rights Reserved Worldwide"
