,Question Number,Question,Number,Answer Number,Answer
21,Question 1.29,"/_387 Inside of a dark closet are ﬁve hats: three blue and two red.
Three smart men go into the closet, and each selects a hat in the dark and
places it unseen upon his head. Each man knows both that the closet con-
tains three blue hats and two red and that the other two men have the same
knowledge.
Once outside the closet, no man can see his own hat. The ﬁrst man looks
at the other two, thinks, and says, “I cannot tell what color my hat is.” The
second man hears this, looks at the other two, and says, “I cannot tell what
color my hat is either. ” The third man is blind. The blind man says, “Well, I
know what color my hat is.” What color is his hat, and how does he know?",1.29,Answer 1.29,"The only way the ﬁrst man can know the color of his own hat is if
he sees the other two wearing red hats—of which there are only two. However,
the ﬁrst man does notknow his hat color, so the other two must be wearing
either both blue or one red and one blue. The second man, upon hearing the
ﬁrst, knows then that he and the third man are either both wearing blue hats,
or one wears a red hat, and one a blue. If he still does not know what color
hat he is wearing, it must be because the third man is wearing a blue hat.
Why? Well, if the third man wears red, then that pinpoints his own hat as
blue since this is the only option left from the choice of either both blue or
one red and one blue. Since the second man does not know his hat color, then
the third man must be wearing blue. The third man, upon hearing the ﬁrst
two, deduces that his own hat is blue via the same reasoning."
22,Question 1.3,"/_387 There are two bells. One rings ﬁve times per minute, and the
other rings four times per minute. If they start at the same time, how long
will it be until they next ring together?
1This is not a chemistry problem. Please ignore the fact that mixing a volume V1of water with
av o l u m e V2of alcohol results in a total volume less than V1+V2.F o l l o w - u pq u e s t i o n :R e p e a tt h e
mixing, and ask the same question. Now do it again, and again, and ask the same question.
©2021 Timothy Falcon Crack 48 All Rights Reserved Worldwide",1.3,Answer 1.3,"If you answered 20 (i.e., 4 ×5) minutes, then go back to the ques-
tion and think again. You need to be hardwired to ignore such “pickpocket
answers” (see story on p. 286).
Although not stated, we should assume the bells ring at equal spaced intervals.
If one bell rings ﬁve times per minute, then that is every 12 seconds. The other,
at four times per minute, rings every 15 seconds. They will next ring together
at the 60 second mark. The answer is one minute.
Story: “One cocky job candidate interviewed with several male managers at
a major bank before being ushered into an interview with a female manager.
He sat across from her, put his feet on her desk and said, ‘Get me a Coke. ’ ”
Michael Zwell
Michael Zwell & Associates, Chicago
“Doomed Days: The Worst Mistakes Recruiters Have Ever Seen,”
The Wall Street Journal ,F e b r u a r y2 5 ,1 9 9 5 ,p R 4 .
Reprinted by permission of The Wall Street Journal
©1995 Dow Jones and Company, Inc.
All Rights Reserved Worldwide.
1It h a n kM a l c o l mA .C r a c kf o rs u g g e s t i n gt h i st e c h n i q u e ;a n ye r r o r sa r em i n e .
©2021 Timothy Falcon Crack 105 All Rights Reserved Worldwide"
23,Question 1.30,"(**) Find the smallest positive integer that leaves a remainder
of 1 when divided by 2, a remainder of 2 when divided by 3, a remainder of 3
when divided by 4, ... and a remainder of 9 when divided by 10.",1.3,Answer 1.30,"You may be looking to the solutions for a hint. My ﬁrst hint is
that, if you are using linear algebra (i.e., solving systems of equations by sub-
stitution) then stop that right now. There are nine equations in 10 unknowns,
so this will get you nowhere. In fact, there are inﬁnitely many integers that
solve the problem statement; we are searching for the smallest such number.
My second hint is that you might like to try drawing a picture.
29I thank Dahn Tamir for assistance on this question; any errors are mine.
©2021 Timothy Falcon Crack 125 All Rights Reserved Worldwide"
24,Question 1.31,"/_387 There are two motorcyclists on a single lane road. They are 25
miles apart. At a signal, they start moving toward each other with constant
speeds. The ﬁrst motorcyclist rides at 20 mph; the second rides at 30 mph.
When the signal goes oﬀ, a ﬂy on the helmet of the ﬁrst motorcyclist is startled
and starts ﬂying toward the second motorcyclist at 40 mph. When the ﬂy
reaches the second motorcyclist (now moving toward the ﬁrst), he immediately
reverses course and ﬂies back to the ﬁrst motorcyclist. When the ﬂy gets back
to the ﬁrst motorcyclist, he reverses course again. The ﬂy continues to ﬂy
backwards and forwards between the two motorcyclists until they all collide.
How many miles will the ﬂy have traveled before his life is extinguished?",1.31,Answer 1.31,"This is easier than it sounds. You do not need any inﬁnite sums,
and, if you used them, go back and try again before reading on. For every two
miles covered by the ﬁrst motorcyclist, the second covers three miles. Two plus
three is ﬁve, and there are ﬁve multiples of ﬁve between them. This means
they will meet after the ﬁrst has traveled 10 miles and the second 15. We
know that the ﬂy moves at twice the speed of the ﬁrst motorcyclist, so it must
cover 20 miles before its miserable life ends.
Many other solutions exist. Here is one I liked.31The second motorcyclist is
approaching the ﬁrst at a relative speed of 20 + 30 = 50 miles per hour. With
25 miles between them, they will collide after one-half of an hour. Meanwhile,
31I thank Adam Rej for suggesting this one; any errors are mine.
©2021 Timothy Falcon Crack 127 All Rights Reserved Worldwide"
25,Question 1.32,"Prove that the area of a triangle is given by
A=/r⎬dic⎬l⎜ig
s(s−a)(s−b)(s−c),
where a,b,a n d care the side lengths, and s≡a+b+c
2is the semi-perimeter.7
Story: Instead of being asked her greatest weakness, one of my students was
asked: “Why shouldn’t we hire you?” It is pretty diﬃcult to maneuver your
way out of that one!
7Mark Rubinstein kindly pointed out to me that this is “Heron’s Formula. ” Strogatz (2009,
pp. 143–152, 160) refers to it as “Hero’s Formula” and “Heron’s Formula. ”
©2021 Timothy Falcon Crack 54 All Rights Reserved Worldwide",1.32,Answer 1.32,"To derive Heron’s (Hero’s) formula, let Adenote the area of a
triangle of sides a,b,a n d c.32We may make several statements that apply to
any triangle and which are clearly visible in Figure A.3:
1. The area Ais given by A=1
2bh.
2. Pythagoras’ Theorem implies that a2=h2+d2andc2=h2+(b+d)2.
3. The ﬁrst Pythagorean result implies h2=a2−d2.W h e n t h e s e c o n d
Pythagorean result is subtracted from the ﬁrst, it yields c2−a2=(b+
d)2−d2, which implies that d=c2−a2−b2
2b.
If we combine the above results, we get
A2=1
4b2h2=1
4b2(a2−d2)=1
4b2/⎭r⎬cketleft⎜igg
a2−(c2−a2−b2)2
4b2/⎭r⎬cketright⎜igg
=1
4b2a2−1
16(c2−a2−b2)2
=1
16/⎭r⎬cketleft⎜ig
(2ba)2−(c2−a2−b2)2/⎭r⎬cketright⎜ig
. (A.9)
Equation A.9 stands out for several reasons. First, although expressed in terms
ofa,b,a n d c, it must, ultimately, be a polynomial in s,w h e r e s=(a+b+c)/2
32I thank Thomas C. Watson and Henri Bourdeau for comments and improvements on an earlier
version of this proof; any errors are mine. I have since discovered that my proof is essentially the
same as that in Raifaizen (1971), which I had not seen previously.
©2021 Timothy Falcon Crack 129 All Rights Reserved Worldwide"
26,Question 1.33,"A,B,C,D,E,F,G,H,a n d I, are the nine integers from one
to nine (not necessarily in order). They satisfy the following constraints:
A+B+C+D=2 0 ,
B+C+D+E+F=2 0 ,
D+E+F+G+H=2 0 ,and
F+G+H+I=2 0
What values are taken by each of AtoI?",1.33,Answer 1.33,"Let me begin by repeating the constraints:35
A+B+C+D =2 0 ,
B+C+D+E+F =2 0 ,
D+E+F+G+H =2 0 ,and
F+G+H+I=2 0
We have four equations in nine unknowns. The additional information ( Ato
Iare some permutation of the integers 1 to 9) restricts the solution space, but
there can be no unique solution.
If the ﬁrst four ( AtoD)a n dt h el a s tf o u r( FtoI), each add to 20, then
because/summ⎬tiontexti=9
i=1i= 45, it follows immediately that E=5 . I fw es u b t r a c tt h e
second constraint from the ﬁrst and use E=5 ,w eg e t A=F+5 . I f w e
subtract the fourth constraint from the third, we get I=D+5 .
The derived restrictions A=F+5 ,a n d I=D+5i m p l yt h a t FandDmust
be in the set {1,2,3,4}.O n c e FandDare chosen, AandIare determined
within the set {6,7,8,9}.T h e r ea r et h u s4 ×3=1 2p o s s i b l ep e r m u t a t i o n s
forF,D,A,a n d I(that is four choices for Ffollowed by three choices for
D;s e ee x a m p l eb e l o w ) .T h i sl e a v e s B,C,G,a n d Hﬂoating in the remaining
four spaces. However, subtracting the second constraint from the third implies
that B+C=G+H. There are four choices for B,b u t ,o n c e Bis chosen, C
is uniquely determined; see example below. There are thus 12 ×4×2=9 6
diﬀerent solutions.
For example, if F=3a n d D=4 ,t h e n A=8a n d I= 9 immediately. That
leaves B,C,G,a n d Hﬂoating in the remaining four spaces: {1,2,6,7}.
IfB=1 ,t h e n Cmust equal 7; there is no other choice for Cthat satisﬁes
B+C=G+H. With BandCchosen, there are two ways to allocate Gand
Hto the remaining two slots. In this example, it would either be G=2,H=6
orG=6,H=2 .
Here are several solutions (reverse the orderings to get several more):36
684251397 ,
684251937 ,
648251397 ,
648251937 .
35I thank Dahn Tamir and James Hirschorn for contributions to this solution technique; any
errors are mine.
36Note: The MATLAB commands perms andunique were useful in checking this answer.
©2021 Timothy Falcon Crack 131 All Rights Reserved Worldwide"
27,Question 1.34,"Av e r yl a r g en u m b e r , N,o fp e o p l ea r r i v ea tac o n v e n t i o n .T h e r e
are exactly Nsingle rooms in the hotel where the convention takes place. Each
guest is given a numbered key for a speciﬁc room. Before they even go upstairs,
they are all invited to a large party in the banquet hall. To gain admittance
to the hall, they have to give up their keys to a doorman. At the end of the
evening, the guests are not sober enough to recall their room numbers, so the
doorman simply hands out the keys randomly. Each guest ends up spending
the night in a random room. What is the probability that at least one guest
ends up in the room to which he or she was originally assigned?",1.34,Answer 1.34,"I present two solution techniques: an elegant approach followed
by a “hammer-and-tongs” brute-force approach. I think you should start with
ar o u g hg u e s s ;m i n ei sa b o u tah a l f .
FIRST SOLUT ION37
Simplify the problem by assuming that the “very large number” of people is
almost an inﬁnite number. In this case, it is as though each person is ﬁrst
in line to be allocated a key because the previous ﬁnite number of people
are negligible compared to the almost inﬁnite number of people waiting to
receive keys. It follows that each person has the same probability,1
N, of being
allocated his or her key. Let Xbe the number of people who end up sleeping
in their own rooms, then
P(X≥1) = 1 −P(X=0 )∗=1 −/p⎬renleft⎭igg
1−1
N/p⎬renright⎭iggN
=1 −/p⎬renleft⎭igg
1+−1
N/p⎬renright⎭iggN
→1−e−1=e−1
easN→∞,
where “ * ” is true for Ninﬁnitely large.
SECOND SOLUT ION38
Consider ﬁrst the simple cases in which there are two or three guests. It soon
becomes clear that you need to consider many diﬀerent overlapping events and
that you need to account for intersections of events. That is, you need basic
set theory.
LetAk,f o r k=1,. . . , N ,d e n o t et h ee v e n tt h a tt h e kth guest sleeps in the
room to which he or she was originally assigned (i.e., his or her “own room”).
What we need to ﬁnd is the probability that at least one of the guests ends up
in his or her own room. This event is the union of the individual events and
occurs with probability: P(/uniontextN
k=1Ak).
If you draw the familiar case of three intersecting circles—each representing
an event—it is relatively straightforward to deduce the following inclusion-
exclusion formula:
P/p⎬renleft⎜iggN/uniondispl⎬y
k=1Ak/p⎬renright⎜igg
=/summ⎬tiondispl⎬y
iP(Ai)−/summ⎬tiondispl⎬y
1≤i<j≤NP(Ai∩Aj)
+/summ⎬tiondispl⎬y
1≤i<j<k ≤NP(Ai∩Aj∩Ak)−···
+(−1)N+1P(A1∩···∩ AN)
All you are doing here is adding the original event probabilities, then taking
out the intersections where you double counted, then adjusting for the fact
37It h a n kJ a s o nR o t hf o rs u p p l y i n gt h i st e c h n i q u e ;a n ye r r o r sa r em i n e .
38I thank Taras Klymchuk for suggesting a very similar solution technique; any errors are mine.
©2021 Timothy Falcon Crack 132 All Rights Reserved Worldwide"
28,Question 1.35,"/_387 At another party, everybody shakes hands with everybody else.
If there are 66 handshakes, how many people are at the party?",1.35,Answer 1.35,"Assume there are Npeople at the party. Assume the ﬁrst person
starts the ball rolling by shaking hands with the N−1 other people. Then
the second person has already shaken hands with the ﬁrst person, and only
needs to shake hands with N−2 people. Similarly, the third person only
needs to shake hands with N−3 people. And so on. Eventually, the ( N−1)th
person shakes hands with the Nthperson, and by this time, the Nthperson has
already shaken hands with everyone. So, the count of handshakes is/summ⎬tiontextN−1
i=1i.
From Answer 1.4, we know this sum is/summ⎬tiontextN−1
i=1i=N(N−1)/2. We could set
©2021 Timothy Falcon Crack 133 All Rights Reserved Worldwide"
29,Question 1.36,"There are 25 people at a party. What is the expected number of
pairs of people with the same birthday? For example, if John, Jon, Stephen,
and Mark all have the same birthday, say, January 15, but nobody else at the
party has a matching birthday, the count of pairs is six. (See also the next
two questions.)",1.36,Answer 1.36,"Before tackling this problem (i.e., the expected number of pairs
of people with a matching birthday in a group of 25), let us solve the more
traditional birthday problem. In a group of Npeople, what is the probability
p(N)t h a tt h e r ea r ea tl e a s tt w op e o p l ew i t ht h es a m eb i r t h d a y ? I ti so f t e n
easier to work out the complement. So, let us ﬁgure the probability that no
people in a group of Npeople share a birthday.
Assume 365 days in a year, and all birthdays equally likely, and all birthdays
independent across partygoers. Let D(N)d e n o t et h ee v e n tt h a ta l l Nper-
sons have d iﬀerent birthdays. How does D(N)h a p p e n ?W e l l ,w i t h o u tl o s so f
generality, suppose the ﬁrst person we pick has birthday January 1. Then, to
have diﬀerent birthdays, there are only 364 choices left for the second person.
Without loss of generality, let us assume the second person’s birthday is Jan-
uary 2. Then, to have diﬀerent birthdays, there are only 363 choices left for
the third person, and so on. The overall space of possible birthday N−tuples
contains 365Nchoices. So, the probability that all Npersons’ birthdays are
diﬀerent is given by Equation A.10, for N=1,...,365.
P[D(N)] =365
365·364
365····(365 −N+1 )
365/⎭r⎬cehtipupleft /⎭r⎬cehtipdownright/⎭r⎬cehtipdownleft /⎭r⎬cehtipupright
Nterms
=365!
(365 −N)!365N=/p⎬renleft⎜igg
365
N/p⎬renright⎜igg
N!
365N(A.10)
Thus, the probability that there is at least one birthday match in the group
ofNpartygoers is given by Equation A.11.
p(N)=1 −p[D(N)] =/⎭r⎬celeft⎜igg
1−/p⎬renleft⎭ig365
N/p⎬renright⎭igN!
365N,ifN=1,...,365
1 N≥366.(A.11)
For example, some values of p(N) appear in Table A.3.
©2021 Timothy Falcon Crack 134 All Rights Reserved Worldwide"
30,Question 1.37,"There are 25 people at another party. One person asks every-
body to announce their birthday, and for anyone who has the same birthday
as someone else to raise a hand. How many hands do you expect to see raised?
For example, if John, Jon, Stephen, and Mark all have the same birthday,
January 15, but nobody else at the party has a matching birthday, the count
of hands is four.",1.37,Answer 1.37,"Now let us turn to the expected number of people with a matching
birthday in a group of 25. In the question, we said that we would ask the
partygoers to raise a hand if someone else at the party had the same birthday.
So, let us solve for E[H(N)], where H(N)i st h en u m b e ro fh a n d sr a i s e d ,t o
indicate a birthday match, in a group of N≥1p e o p l e .
Let me number the people from 1 to N.L e t m e l o o k a t t h e ﬁ r s t p e r s o n .
The probability that the ﬁrst person does not have the same birthday as the
second person is 364/365. All birthdays are independent of each other. So,
the probability that the ﬁrst person does not have the same birthday as any
of the other N−1p e o p l ei s( 3 6 4 / 3 6 5 )N−1.S o ,t h ep r o b a b i l i t yt h a tt h eﬁ r s t
person has the same birthday as at least one other person, and therefore raises
ah a n d ,i s1 −(364/365)N−1. This is true for each person. So, the expected
number of hands raised to indicate a birthday match is
E[H(N)] =N/p⎬renleft⎜igg
1−/p⎬renleft⎭igg364
365/p⎬renright⎭iggN−1/p⎬renright⎜igg
.
For example, some values of E(H) appear in Table A.3. In a group of size 25,
we expect only 1.59 hands to be raised. As the size of the party increases, the
proportion of hands raised climbs slowly to 100%."
31,Question 1.38,"Al i n ei sa b o u tt of o r mo u t s i d et h eb o xo ﬃ c eo fat h e a t e r . Y o u
have inside information that the manager plans to announce that he will give
a single free ticket to one person in line. To win the free ticket, it needs to be
true that you are the ﬁrst person in line who has someone ahead of you in line
with same birthday as you. When (or where) do you join the line to maximize
the probability of winning the free ticket?",1.38,Answer 1.38,"To maximize the probability that I win the free ticket, I will ask
my twin brother to stand at position number one in line, and then I will stand
right behind him. Failing that, let us assume that birthdays are uniformly
©2021 Timothy Falcon Crack 136 All Rights Reserved Worldwide"
32,Question 1.39,"/_387 A small boat is ﬂoating in a swimming pool. The boat contains
av e r ys m a l lb u tv e r yh e a v yr o c k .I ft h er o c ki st o s s e do u to ft h eb o a ti n t ot h e
pool, what happens to the water level in the pool?
©2021 Timothy Falcon Crack 55 All Rights Reserved Worldwide",1.39,Answer 1.39,"First of all, “very small” is classic physics slang for very, very small
(i.e., so small that it is a pinpoint mass). If the rock is tossed overboard, the
water level falls as though water equal in mass to the mass of the rock is being
sucked out of the pool. The rock forces the boat to displace the rock’s mass
of water. After the rock is gone, the boat rises up, and the water level falls
down (Archimedes’ Principle).40
The next time you are washing dishes, try this experiment. With the sink
half-full of water, ﬂoat a drinking glass. Now drop a steel ball bearing gently
into the glass. The glass sinks down, displacing a mass of water equal in mass
to the mass of the ball bearing, and the water level rises. Now pluck the ball
bearing from the glass, using a magnet. The reverse happens, the glass rises,
and the water level falls as though water equal in mass to the mass of the ball
bearing is being sucked out of the sink.
How does your answer change if the rock is replaced by a piece of pumice
(i.e., ﬂoating volcanic glass), or by a 100lb ice cube, or by a tethered helium
balloon (to be set free, tether and all)?"
33,Question 1.4,/_387 What is the sum of the integers from 1 to 100?2,1.4,Answer 1.4,"This is a very common question, and a very simple one. You need
to ﬁgure out the sum: 1 + 2 + 3 + ···+ 99 + 100. There are several ways to do
this.
FIRST SOLUT ION
As i m p l et e c h n i q u ei st on o t et h a tt h eﬁ r s ta n dl a s tt e r m sa d dt o1 0 1 . T h e
second and second-to-last terms also add to 101. The same is true of the third
and third-to-last terms. Continuing in this fashion, you soon ﬁnd yourself with
50 pairs of numbers adding to 101; 50 times 101 is 5,050.
SECOND SOLUT ION2
A simple technique you can picture easily is the following:
123 ... n −1 n
n n−1n−2... 2 1
n+1 n+1 n+1 ... n +1 n+1
There are nterms each equal to n+ 1. The required sum is half the grand
total:n(n+1)
2.
T HIRD SOLUT ION
Ir e a ds o m e w h e r em a n yy e a r sa g ot h a tt h eh i g hs c h o o ld r o p - o u tA l b e r tE i n s t e i n
devised the following alternative solution technique at age 15. Think of each
summand, i,i nt h es u m/summ⎬tiontext100
i=1ias a group of imarbles in a row from i=1t o
i=1 0 0( s e et h ea r r a yf o l l o w i n g ) . S t a c k i n ge a c hr o wo fm a r b l e so nt o po fe a c h
previous row, you get the array including both the diagonal and the lower-
triangular oﬀ-diagonal. Were the array full, it would contain 100 ×100 = 1002
marbles. So, your answer must be roughly half this (roughly 50 ×100). This
is not exact because although the array contains two triangular-shaped oﬀ-
diagonals (upper and lower), there is only one diagonal. If you add another
diagonal, and then split the total in two, you get the right answer. The diagonal
contains 100 marbles, so the right answer must be1002+100
2=5,000 + 50, as
before.
⎛
⎜⎜⎜⎜⎜⎜⎜⎜⎜⎜⎜⎜⎜⎜⎜⎝123456 ···100
1 •
2 ••
3 •••
4 ••••
5 •••••
6 ••••••
........................
100 ••••••· · · •⎞
⎟⎟⎟⎟⎟⎟⎟⎟⎟⎟⎟⎟⎟⎟⎟⎠
More generally, the sum from 1 to nmay be written down asn2+n
2=n(n+1)
2.
2I thank Tom Arnold for this solution technique; any errors are mine.
©2021 Timothy Falcon Crack 106 All Rights Reserved Worldwide"
34,Question 1.40,"(**) In a certain matriarchal town, the women all believe in an
old prophecy that says there will come a time when a stranger will visit the
town and announce whether any of the men folk are cheating on their wives.
The stranger will simply say “yes” or “no,” without announcing the number
of men implicated or their identities. If the stranger arrives and makes his
announcement, the women know that they must follow a particular rule: If
on any day following the stranger’s announcement a women deduces that her
husband is not faithful to her, she must kick him out into the street at 10 am
the next day. This action is immediately observable by every resident in the
town. It is well known that each wife is already observant enough to know
whether any man (except her own husband) is cheating on his wife. However,
no woman can reveal that information to any other. A cheating husband is
also assumed to remain silent about his inﬁdelity.
The time comes, and a stranger arrives. He announces that there are cheating
men in the town. On the morning of the tenth day following the stranger’s
arrival, some unfaithful men are kicked out into the street for the ﬁrst time.
How many of them are there?",1.4,Answer 1.40,"The answer involves both mathematical induction and game the-
oretic arguments. If there is exactly one cheating man in the town, Mr. C, say,
then every wife except Mrs. C knows who he is. Not only that, but Mrs. C
is unaware of any cheats—the stranger’s announcement comes as a shock to
her. Immediately after the stranger’s announcement, Mrs. C asks: “Who can
be cheating if I have seen no cheats?” The only possible answer is it is Mr. C.
Come the next morning, his happy days are over, and out he goes.
Suppose instead that there are exactly two cheating men in town: Mr. C1 and
Mr. C2. In this case, Mrs. C1 knows there is one cheat in town (Mr. C2), and
Mrs. C2 knows there is one cheat in town (Mr. C1)—the stranger’s announce-
ment comes as no shock to either woman. Each thinks there is only one cheat
40Archimedes said simply that an object in a ﬂuid experiences an upwards force equal to the
weight of the ﬂuid that is displaced by the object.
©2021 Timothy Falcon Crack 139 All Rights Reserved Worldwide"
35,Question 1.41,"/_387 In front of you are three poles. One pole is stacked with 64 rings
ranging in weight from one ounce (at the top) to 64 ounces (at the bottom).
Your task is to move all the rings to one of the other two poles so that they
end up in the same order. The rules are that you can move only one ring at
at i m e ,y o uc a nm o v ear i n go n l yf r o mo n ep o l et oa n o t h e r ,a n dy o uc a n n o t
even temporarily place a ring on top of a lighter ring.
What is the minimum number of moves you need to make to achieve the task?
Story: Here are some Fermi problems from Section 5.5: “How many Mc-
Donald’s fast food outlets are there in the U.S.? How many gas stations are
there in the U.S.? How many elevators are there in the U.S.?”",1.41,Answer 1.41,"This is known as the Towers of Hanoi problem. If you are peeking
here for a solution, then go back and think about mathematical induction.
LetV(n)d e n o t et h em i n i m u mn u m b e ro fm o v e sn e e d e df o r nrings. I assert
that V(n)=2n−1, for all positive integers n(I will justify this shortly). The
proof uses mathematical induction.
Case n=1 : With one ring, it certainly takes exactly one move. My assertion
is thus true for the case n=1 .
Case n = N: Suppose that my assertion is true for n = N, and consider the
case n = N + 1. By assumption, it takes V (N)=2N ?1 moves to get the first
N rings to pole #2. Use one additional move to get ring #(N + 1) to pole #3.
Now use V (N)=2N ? 1 moves to move the N rings on pole #2 to pole #3.
The total number of moves used is 2V (N) + 1 = 2(2N ? 1) + 1 = 2(N+1) ? 1.
However, this is just V (N + 1). That is, if my assertion is true for n = N, it
is also true for n = (N + 1).
The result follows, because I showed my assertion is true for n = 1, and I
showed that if my assertion is true for n = N, then it is also true for n = N +1.
In particular, because I showed the assertion to be true for n = 1, it follows
that it must be true for n = 2. It then follows that because the assertion is
true for n = 2, it is also true for n = 3, ... and so on, up to ?.
41
With n = 64 rings, it takes V (64) = 264 ? 1 = 18, 446, 744, 073, 709, 551, 615
moves. At one move per second, it would take you 584.5 billion (i.e., 584.5
thousand million) years to complete this task. The Earth will fall into the Sun
in less than one-hundredth of this time period."
36,Question 1.42,"Solve the following ordinary diﬀerential equation (ODE):
u′′+u′+u=1",1.42,Answer 1.42,"The ODE u′′+u′+u=1h a sas i m p l es o l u t i o n . T h i si sas e c o n d -
order linear ODE with constant coeﬃcients, so we need only search for solu-
tions to the homogeneous form u′′+u′+u=0 ,a n dt h e nt a go nas o l u t i o nt o
the speciﬁc nonhomogeneous equation given.
Solutions to a second-order linear homogeneous ODE of form Au′′+Bu′+Cu=
0 are of form42
u(x)=aeλ1x+beλ2x,
where λ1andλ2are the roots of the characteristic equation:
Aλ2+Bλ+C=0.
It follows (using the quadratic formula) that
λ1,λ2=−B±√
B2−4AC
2A=−1±√1−4
2=−1
2±√
3
2i,
where i≡√−1. In our case, u=1i sas o l u t i o nt ot h es p e c i ﬁ cn o n h o m o g e n e o u s
ODE, so the general solution must be of form
u(x)=ae/p⎬renleft⎜ig
−1
2+√
3
2i/p⎬renright⎜ig
x+be/p⎬renleft⎜ig
−1
2−√
3
2i/p⎬renright⎜ig
x+1,
for arbitrary constants aandb.T o p i n p o i n t aandb, you need two initial
conditions (not supplied here) in addition to the ODE.
41A natural question to ask is how I guessed that V(n)=2n−1 to begin with. I got this because
Iﬁ g u r e dt h a t V(n+ 1) = 2 V(n) + 1 had to hold, and V(1) = 1 is obvious. These together are
suﬃcient to deduce the functional form of V(n).
42Unless λ1=λ2=λ, say (i.e., a repeated root), in which case solutions are of form u(x)=
axeλx+beλx.
©2021 Timothy Falcon Crack 141 All Rights Reserved Worldwide"
37,Question 1.43,"Assume that the random variables XandYare normally dis-
tributed: X∼N(µX,σ2
X), and Y∼N(µY,σ2
Y). The correlation between X
andYisρ.H o w c a n y o u c h o o s e c o n s t a n t s aandbsuch that you minimize
the variance of the random variable sum S=aX+bYunder the constraints
that a+b=1 ,0 ≤a≤1, and 0 ≤b≤1?8
8Another version of this question asked in interviews is: “You are driving around with one wheel
on the gravel and one wheel on the pavement. The variance of the gravel and pavement surfaces
are described by σ2
Gandσ2
P. Whereabouts on the axle should you sit between x= 0 (right over
the wheel on the gravel) and x= 1 (right over the wheel on the pavement) if you want the most
comfortable ride?”
©2021 Timothy Falcon Crack 56 All Rights Reserved Worldwide",1.43,Answer 1.43,"The obvious application is to proportions of a portfolio invested
in risky assets (see Questions 3.19 and 3.20). Make the substitution b=1−a.
Then the variance of the sum is
V(S)=a2σ2
X+2a(1−a)ρσXσY+( 1 −a)2σ2
Y.
The ﬁrst-order condition is∂V(S)
∂a= 0. The partial derivative is:
∂V(S)
∂a=2 aσ2
X+2ρσXσY−4aρσ XσY+2 ( 1 −a)(−1)σ2
Y
=2/⎭r⎬cketleft⎜ig
a(σ2
X−2ρσXσY+σ2
Y)+ρσXσY−σ2
Y/⎭r⎬cketright⎜ig
.
Thus, the particular athat satisﬁes the ﬁrst-order condition is
a∗=σ2
Y−ρσXσY
(σ2
X−2ρσXσY+σ2
Y).
We should check the second-order condition
∂2V(S)
∂a2/vextendsingle/vextendsingle/vextendsingle/vextendsingle/vextendsingle
a=a∗>0,
to make sure this is a minimum, not a maximum. This is straightforward:
1
2∂2V(S)
∂a2=σ2
X−2ρσXσY+σ2
Y
≥σ2
X−2(+1) σXσY+σ2
Y
=( σX−σY)2
≥0,
and the ﬁrst inequality is strict unless ρ=+ 1 .
In fact, I have solved the unconstrained problem—ignoring the constraint 0 ≤
a≤1. If a∗breaches the constraints, the constrained solution for ais either 1
or 0, depending upon whether σXorσYis the smaller respectively.43
43Thea∗will breach the constraints if the correlation ρis large enough or the standard deviations
are disparate enough that eitherσX
σY<ρorσY
σX<ρ.
©2021 Timothy Falcon Crack 142 All Rights Reserved Worldwide"
38,Question 1.44,"Suppose there is a straight coastline and a lighthouse that is
L= 3 miles away from the coast. The light revolves at one revolution per
minute. How fast is the beam of light traveling along the coastline? When the
beam is 3 Laway from the coastal point closest to the light, how fast is the
light traveling along the coast?",1.44,Answer 1.44,"The lighthouse question is an old favorite.44The lighthouse is a
distance Lfrom the coast. The beam of light casts a “spot” a distance R
across the sea from the lighthouse (see Figure A.4).
spot @V the coastlinethe lighthouse
LR
αα
/⎭r⎬cehtipupleft /⎭r⎬cehtipdownright/⎭r⎬cehtipdownleft /⎭r⎬cehtipupright
D=Vd tD1=ωRdtθ
xcoord.ycoord.
Figure A.4: The Lighthouse Problem
Note: Refer to this ﬁgure for both solutions to the lighthouse prob-
lem. The ﬁrst solution uses the x-ycoordinates and θ; the second
solution uses α,D, and D1; both solutions use L,R, and V.
44I thank Valeri Smelyansky for advice; any errors are mine.
©2021 Timothy Falcon Crack 143 All Rights Reserved Worldwide"
