Item Number,Content
Answer 1.31,"This is easier than it sounds. You do not need any inﬁnite sums,
and, if you used them, go back and try again before reading on. For every two
miles covered by the ﬁrst motorcyclist, the second covers three miles. Two plus
three is ﬁve, and there are ﬁve multiples of ﬁve between them. This means
they will meet after the ﬁrst has traveled 10 miles and the second 15. We
know that the ﬂy moves at twice the speed of the ﬁrst motorcyclist, so it must
cover 20 miles before its miserable life ends.
Many other solutions exist. Here is one I liked.31The second motorcyclist is
approaching the ﬁrst at a relative speed of 20 + 30 = 50 miles per hour. With
25 miles between them, they will collide after one-half of an hour. Meanwhile,
31I thank Adam Rej for suggesting this one; any errors are mine.
©2021 Timothy Falcon Crack 127 All Rights Reserved Worldwide"
Answer 1.32,"To derive Heron’s (Hero’s) formula, let Adenote the area of a
triangle of sides a,b,a n d c.32We may make several statements that apply to
any triangle and which are clearly visible in Figure A.3:
1. The area Ais given by A=1
2bh.
2. Pythagoras’ Theorem implies that a2=h2+d2andc2=h2+(b+d)2.
3. The ﬁrst Pythagorean result implies h2=a2−d2.W h e n t h e s e c o n d
Pythagorean result is subtracted from the ﬁrst, it yields c2−a2=(b+
d)2−d2, which implies that d=c2−a2−b2
2b.
If we combine the above results, we get
A2=1
4b2h2=1
4b2(a2−d2)=1
4b2/⎭r⎬cketleft⎜igg
a2−(c2−a2−b2)2
4b2/⎭r⎬cketright⎜igg
=1
4b2a2−1
16(c2−a2−b2)2
=1
16/⎭r⎬cketleft⎜ig
(2ba)2−(c2−a2−b2)2/⎭r⎬cketright⎜ig
. (A.9)
Equation A.9 stands out for several reasons. First, although expressed in terms
ofa,b,a n d c, it must, ultimately, be a polynomial in s,w h e r e s=(a+b+c)/2
32I thank Thomas C. Watson and Henri Bourdeau for comments and improvements on an earlier
version of this proof; any errors are mine. I have since discovered that my proof is essentially the
same as that in Raifaizen (1971), which I had not seen previously.
©2021 Timothy Falcon Crack 129 All Rights Reserved Worldwide"
Answer 1.33,"Let me begin by repeating the constraints:35
A+B+C+D =2 0 ,
B+C+D+E+F =2 0 ,
D+E+F+G+H =2 0 ,and
F+G+H+I=2 0
We have four equations in nine unknowns. The additional information ( Ato
Iare some permutation of the integers 1 to 9) restricts the solution space, but
there can be no unique solution.
If the ﬁrst four ( AtoD)a n dt h el a s tf o u r( FtoI), each add to 20, then
because/summ⎬tiontexti=9
i=1i= 45, it follows immediately that E=5 . I fw es u b t r a c tt h e
second constraint from the ﬁrst and use E=5 ,w eg e t A=F+5 . I f w e
subtract the fourth constraint from the third, we get I=D+5 .
The derived restrictions A=F+5 ,a n d I=D+5i m p l yt h a t FandDmust
be in the set {1,2,3,4}.O n c e FandDare chosen, AandIare determined
within the set {6,7,8,9}.T h e r ea r et h u s4 ×3=1 2p o s s i b l ep e r m u t a t i o n s
forF,D,A,a n d I(that is four choices for Ffollowed by three choices for
D;s e ee x a m p l eb e l o w ) .T h i sl e a v e s B,C,G,a n d Hﬂoating in the remaining
four spaces. However, subtracting the second constraint from the third implies
that B+C=G+H. There are four choices for B,b u t ,o n c e Bis chosen, C
is uniquely determined; see example below. There are thus 12 ×4×2=9 6
diﬀerent solutions.
For example, if F=3a n d D=4 ,t h e n A=8a n d I= 9 immediately. That
leaves B,C,G,a n d Hﬂoating in the remaining four spaces: {1,2,6,7}.
IfB=1 ,t h e n Cmust equal 7; there is no other choice for Cthat satisﬁes
B+C=G+H. With BandCchosen, there are two ways to allocate Gand
Hto the remaining two slots. In this example, it would either be G=2,H=6
orG=6,H=2 .
Here are several solutions (reverse the orderings to get several more):36
684251397 ,
684251937 ,
648251397 ,
648251937 .
35I thank Dahn Tamir and James Hirschorn for contributions to this solution technique; any
errors are mine.
36Note: The MATLAB commands perms andunique were useful in checking this answer.
©2021 Timothy Falcon Crack 131 All Rights Reserved Worldwide"
Answer 1.34,"I present two solution techniques: an elegant approach followed
by a “hammer-and-tongs” brute-force approach. I think you should start with
ar o u g hg u e s s ;m i n ei sa b o u tah a l f .
FIRST SOLUT ION37
Simplify the problem by assuming that the “very large number” of people is
almost an inﬁnite number. In this case, it is as though each person is ﬁrst
in line to be allocated a key because the previous ﬁnite number of people
are negligible compared to the almost inﬁnite number of people waiting to
receive keys. It follows that each person has the same probability,1
N, of being
allocated his or her key. Let Xbe the number of people who end up sleeping
in their own rooms, then
P(X≥1) = 1 −P(X=0 )∗=1 −/p⎬renleft⎭igg
1−1
N/p⎬renright⎭iggN
=1 −/p⎬renleft⎭igg
1+−1
N/p⎬renright⎭iggN
→1−e−1=e−1
easN→∞,
where “ * ” is true for Ninﬁnitely large.
SECOND SOLUT ION38
Consider ﬁrst the simple cases in which there are two or three guests. It soon
becomes clear that you need to consider many diﬀerent overlapping events and
that you need to account for intersections of events. That is, you need basic
set theory.
LetAk,f o r k=1,. . . , N ,d e n o t et h ee v e n tt h a tt h e kth guest sleeps in the
room to which he or she was originally assigned (i.e., his or her “own room”).
What we need to ﬁnd is the probability that at least one of the guests ends up
in his or her own room. This event is the union of the individual events and
occurs with probability: P(/uniontextN
k=1Ak).
If you draw the familiar case of three intersecting circles—each representing
an event—it is relatively straightforward to deduce the following inclusion-
exclusion formula:
P/p⎬renleft⎜iggN/uniondispl⎬y
k=1Ak/p⎬renright⎜igg
=/summ⎬tiondispl⎬y
iP(Ai)−/summ⎬tiondispl⎬y
1≤i<j≤NP(Ai∩Aj)
+/summ⎬tiondispl⎬y
1≤i<j<k ≤NP(Ai∩Aj∩Ak)−···
+(−1)N+1P(A1∩···∩ AN)
All you are doing here is adding the original event probabilities, then taking
out the intersections where you double counted, then adjusting for the fact
37It h a n kJ a s o nR o t hf o rs u p p l y i n gt h i st e c h n i q u e ;a n ye r r o r sa r em i n e .
38I thank Taras Klymchuk for suggesting a very similar solution technique; any errors are mine.
©2021 Timothy Falcon Crack 132 All Rights Reserved Worldwide"
Answer 1.35,"Assume there are Npeople at the party. Assume the ﬁrst person
starts the ball rolling by shaking hands with the N−1 other people. Then
the second person has already shaken hands with the ﬁrst person, and only
needs to shake hands with N−2 people. Similarly, the third person only
needs to shake hands with N−3 people. And so on. Eventually, the ( N−1)th
person shakes hands with the Nthperson, and by this time, the Nthperson has
already shaken hands with everyone. So, the count of handshakes is/summ⎬tiontextN−1
i=1i.
From Answer 1.4, we know this sum is/summ⎬tiontextN−1
i=1i=N(N−1)/2. We could set
©2021 Timothy Falcon Crack 133 All Rights Reserved Worldwide"
Answer 1.36,"Before tackling this problem (i.e., the expected number of pairs
of people with a matching birthday in a group of 25), let us solve the more
traditional birthday problem. In a group of Npeople, what is the probability
p(N)t h a tt h e r ea r ea tl e a s tt w op e o p l ew i t ht h es a m eb i r t h d a y ? I ti so f t e n
easier to work out the complement. So, let us ﬁgure the probability that no
people in a group of Npeople share a birthday.
Assume 365 days in a year, and all birthdays equally likely, and all birthdays
independent across partygoers. Let D(N)d e n o t et h ee v e n tt h a ta l l Nper-
sons have d iﬀerent birthdays. How does D(N)h a p p e n ?W e l l ,w i t h o u tl o s so f
generality, suppose the ﬁrst person we pick has birthday January 1. Then, to
have diﬀerent birthdays, there are only 364 choices left for the second person.
Without loss of generality, let us assume the second person’s birthday is Jan-
uary 2. Then, to have diﬀerent birthdays, there are only 363 choices left for
the third person, and so on. The overall space of possible birthday N−tuples
contains 365Nchoices. So, the probability that all Npersons’ birthdays are
diﬀerent is given by Equation A.10, for N=1,...,365.
P[D(N)] =365
365·364
365····(365 −N+1 )
365/⎭r⎬cehtipupleft /⎭r⎬cehtipdownright/⎭r⎬cehtipdownleft /⎭r⎬cehtipupright
Nterms
=365!
(365 −N)!365N=/p⎬renleft⎜igg
365
N/p⎬renright⎜igg
N!
365N(A.10)
Thus, the probability that there is at least one birthday match in the group
ofNpartygoers is given by Equation A.11.
p(N)=1 −p[D(N)] =/⎭r⎬celeft⎜igg
1−/p⎬renleft⎭ig365
N/p⎬renright⎭igN!
365N,ifN=1,...,365
1 N≥366.(A.11)
For example, some values of p(N) appear in Table A.3.
©2021 Timothy Falcon Crack 134 All Rights Reserved Worldwide"
Answer 1.37,"Now let us turn to the expected number of people with a matching
birthday in a group of 25. In the question, we said that we would ask the
partygoers to raise a hand if someone else at the party had the same birthday.
So, let us solve for E[H(N)], where H(N)i st h en u m b e ro fh a n d sr a i s e d ,t o
indicate a birthday match, in a group of N≥1p e o p l e .
Let me number the people from 1 to N.L e t m e l o o k a t t h e ﬁ r s t p e r s o n .
The probability that the ﬁrst person does not have the same birthday as the
second person is 364/365. All birthdays are independent of each other. So,
the probability that the ﬁrst person does not have the same birthday as any
of the other N−1p e o p l ei s( 3 6 4 / 3 6 5 )N−1.S o ,t h ep r o b a b i l i t yt h a tt h eﬁ r s t
person has the same birthday as at least one other person, and therefore raises
ah a n d ,i s1 −(364/365)N−1. This is true for each person. So, the expected
number of hands raised to indicate a birthday match is
E[H(N)] =N/p⎬renleft⎜igg
1−/p⎬renleft⎭igg364
365/p⎬renright⎭iggN−1/p⎬renright⎜igg
.
For example, some values of E(H) appear in Table A.3. In a group of size 25,
we expect only 1.59 hands to be raised. As the size of the party increases, the
proportion of hands raised climbs slowly to 100%."
Answer 1.38,"To maximize the probability that I win the free ticket, I will ask
my twin brother to stand at position number one in line, and then I will stand
right behind him. Failing that, let us assume that birthdays are uniformly
©2021 Timothy Falcon Crack 136 All Rights Reserved Worldwide"
Answer 1.39,"First of all, “very small” is classic physics slang for very, very small
(i.e., so small that it is a pinpoint mass). If the rock is tossed overboard, the
water level falls as though water equal in mass to the mass of the rock is being
sucked out of the pool. The rock forces the boat to displace the rock’s mass
of water. After the rock is gone, the boat rises up, and the water level falls
down (Archimedes’ Principle).40
The next time you are washing dishes, try this experiment. With the sink
half-full of water, ﬂoat a drinking glass. Now drop a steel ball bearing gently
into the glass. The glass sinks down, displacing a mass of water equal in mass
to the mass of the ball bearing, and the water level rises. Now pluck the ball
bearing from the glass, using a magnet. The reverse happens, the glass rises,
and the water level falls as though water equal in mass to the mass of the ball
bearing is being sucked out of the sink.
How does your answer change if the rock is replaced by a piece of pumice
(i.e., ﬂoating volcanic glass), or by a 100lb ice cube, or by a tethered helium
balloon (to be set free, tether and all)?"
Answer 1.40,"The answer involves both mathematical induction and game the-
oretic arguments. If there is exactly one cheating man in the town, Mr. C, say,
then every wife except Mrs. C knows who he is. Not only that, but Mrs. C
is unaware of any cheats—the stranger’s announcement comes as a shock to
her. Immediately after the stranger’s announcement, Mrs. C asks: “Who can
be cheating if I have seen no cheats?” The only possible answer is it is Mr. C.
Come the next morning, his happy days are over, and out he goes.
Suppose instead that there are exactly two cheating men in town: Mr. C1 and
Mr. C2. In this case, Mrs. C1 knows there is one cheat in town (Mr. C2), and
Mrs. C2 knows there is one cheat in town (Mr. C1)—the stranger’s announce-
ment comes as no shock to either woman. Each thinks there is only one cheat
40Archimedes said simply that an object in a ﬂuid experiences an upwards force equal to the
weight of the ﬂuid that is displaced by the object.
©2021 Timothy Falcon Crack 139 All Rights Reserved Worldwide"
Answer 1.41,"This is known as the Towers of Hanoi problem. If you are peeking
here for a solution, then go back and think about mathematical induction.
LetV(n)d e n o t et h em i n i m u mn u m b e ro fm o v e sn e e d e df o r nrings. I assert
that V(n)=2n−1, for all positive integers n(I will justify this shortly). The
proof uses mathematical induction.
Case n=1 : With one ring, it certainly takes exactly one move. My assertion
is thus true for the case n=1 .
©2021 Timothy Falcon Crack 140 All Rights Reserved Worldwide"
Answer 1.42,"The ODE u′′+u′+u=1h a sas i m p l es o l u t i o n . T h i si sas e c o n d -
order linear ODE with constant coeﬃcients, so we need only search for solu-
tions to the homogeneous form u′′+u′+u=0 ,a n dt h e nt a go nas o l u t i o nt o
the speciﬁc nonhomogeneous equation given.
Solutions to a second-order linear homogeneous ODE of form Au′′+Bu′+Cu=
0 are of form42
u(x)=aeλ1x+beλ2x,
where λ1andλ2are the roots of the characteristic equation:
Aλ2+Bλ+C=0.
It follows (using the quadratic formula) that
λ1,λ2=−B±√
B2−4AC
2A=−1±√1−4
2=−1
2±√
3
2i,
where i≡√−1. In our case, u=1i sas o l u t i o nt ot h es p e c i ﬁ cn o n h o m o g e n e o u s
ODE, so the general solution must be of form
u(x)=ae/p⎬renleft⎜ig
−1
2+√
3
2i/p⎬renright⎜ig
x+be/p⎬renleft⎜ig
−1
2−√
3
2i/p⎬renright⎜ig
x+1,
for arbitrary constants aandb.T o p i n p o i n t aandb, you need two initial
conditions (not supplied here) in addition to the ODE.
41A natural question to ask is how I guessed that V(n)=2n−1 to begin with. I got this because
Iﬁ g u r e dt h a t V(n+ 1) = 2 V(n) + 1 had to hold, and V(1) = 1 is obvious. These together are
suﬃcient to deduce the functional form of V(n).
42Unless λ1=λ2=λ, say (i.e., a repeated root), in which case solutions are of form u(x)=
axeλx+beλx.
©2021 Timothy Falcon Crack 141 All Rights Reserved Worldwide"
Answer 1.43,"The obvious application is to proportions of a portfolio invested
in risky assets (see Questions 3.19 and 3.20). Make the substitution b=1−a.
Then the variance of the sum is
V(S)=a2σ2
X+2a(1−a)ρσXσY+( 1 −a)2σ2
Y.
The ﬁrst-order condition is∂V(S)
∂a= 0. The partial derivative is:
∂V(S)
∂a=2 aσ2
X+2ρσXσY−4aρσ XσY+2 ( 1 −a)(−1)σ2
Y
=2/⎭r⎬cketleft⎜ig
a(σ2
X−2ρσXσY+σ2
Y)+ρσXσY−σ2
Y/⎭r⎬cketright⎜ig
.
Thus, the particular athat satisﬁes the ﬁrst-order condition is
a∗=σ2
Y−ρσXσY
(σ2
X−2ρσXσY+σ2
Y).
We should check the second-order condition
∂2V(S)
∂a2/vextendsingle/vextendsingle/vextendsingle/vextendsingle/vextendsingle
a=a∗>0,
to make sure this is a minimum, not a maximum. This is straightforward:
1
2∂2V(S)
∂a2=σ2
X−2ρσXσY+σ2
Y
≥σ2
X−2(+1) σXσY+σ2
Y
=( σX−σY)2
≥0,
and the ﬁrst inequality is strict unless ρ=+ 1 .
In fact, I have solved the unconstrained problem—ignoring the constraint 0 ≤
a≤1. If a∗breaches the constraints, the constrained solution for ais either 1
or 0, depending upon whether σXorσYis the smaller respectively.43
43Thea∗will breach the constraints if the correlation ρis large enough or the standard deviations
are disparate enough that eitherσX
σY<ρorσY
σX<ρ.
©2021 Timothy Falcon Crack 142 All Rights Reserved Worldwide"
Answer 1.44,"The lighthouse question is an old favorite.44The lighthouse is a
distance Lfrom the coast. The beam of light casts a “spot” a distance R
across the sea from the lighthouse (see Figure A.4).
spot @V the coastlinethe lighthouse
LR
αα
/⎭r⎬cehtipupleft /⎭r⎬cehtipdownright/⎭r⎬cehtipdownleft /⎭r⎬cehtipupright
D=Vd tD1=ωRdtθ
xcoord.ycoord.
Figure A.4: The Lighthouse Problem
Note: Refer to this ﬁgure for both solutions to the lighthouse prob-
lem. The ﬁrst solution uses the x-ycoordinates and θ; the second
solution uses α,D, and D1; both solutions use L,R, and V.
44I thank Valeri Smelyansky for advice; any errors are mine.
©2021 Timothy Falcon Crack 143 All Rights Reserved Worldwide"
Answer 1.45,"I present an elegant approach followed by three algebraic ap-
proaches. Please see Figure A.5 for reference.
FIRST SOLUT ION
Imagine the 20 ×20 chessboard in front of you, with the stacks of cubes on it as
in Figure A.5. Now slice through the cubes horizontally at height 20 units. The
cubes above the slice all lie in the southeast lower-triangular section below the
non-leading diagonal. Now ﬂip the above-the-slice cubes across the diagonal
from southeast to northwest. They will ﬁll the lower stacks to a height of 20
units. You now have a solid cube, and the total number of cubes must be
n3=2 03=8,000.
SECOND SOLUT ION45
Think of each row as being like successive images of a moving ticker tape
containing the numbers 1 to 39. We view the tape through a window, and we
see only 20 numbers at a time. The tape is moving to the left, one step at a
45I thank Sudheer Naidu D for this approach; any errors are mine.
©2021 Timothy Falcon Crack 144 All Rights Reserved Worldwide"
Answer 1.46,"The naive strategy is to run directly away from the dog toward
the edge of the ﬁeld. However, at speed v,i tt a k e sy o uR
vunits of time to get
to the perimeter, while it takes the dog only1
22πR
4v=πR
4v≈3
4×R
vunits of
time to get there—so he will meet you and eat you. You somehow need to get
further from him and closer to the fence before you make a run for it.
Suppose you behave somewhat like the dog. Step away from the center of the
circle until you are at a radius ofR
4. Now constrain yourself to running circuits
around that radius. It takes youπR
4vunits of time to run half-way around this
circle. The dog can also run half-way around the ﬁeld in the same time. That
is, at this radius, you and the dog are perfectly matched in your abilities to
run around in circles.
47Im a k eu s eo ft h ep r o p e r t yt h a t/summ⎬tiontextn
j=1j=n(n+1)
2(see Answer 1.4).
©2021 Timothy Falcon Crack 146 All Rights Reserved Worldwide"
Answer 1.47,"There are two methods. The ﬁrst method assumes a known prob-
ability result (this may be suﬃcient for you); the second method subsumes the
ﬁrst by proving the aforementioned probability result before proceeding.
FIRST SOLUT ION
The integral is immediately recognized as a simple transformation of an inte-
gral over the entire domain of a normally distributed random variable.
The standard normal distribution has probability density function f(u)≡
1√
2πe−1
2u2,f o r −∞<u< +∞. Integrating over the entire domain must
produce total probability mass of unity:
/integr⎬ldispl⎬y+∞
−∞f(u)du=/integr⎬ldispl⎬y+∞
−∞1√
2πe−1
2u2du=1
If we substitute in x=1√
2u(to make the integral look like the one we seek),
then dx=1√
2du,a n dw eg e t
/integr⎬ldispl⎬y+∞
−∞1√πe−x2dx=1.
Multiply both sides by√π, and the result follows immediately.
©2021 Timothy Falcon Crack 147 All Rights Reserved Worldwide"
Answer 1.48,"Of all the simple trigonometric functions that you might be asked
to integrate,/integr⎬ltextsecθdθhas arguably the most complicated answer. I get reports
of that being asked often.
©2021 Timothy Falcon Crack 148 All Rights Reserved Worldwide"
Answer 1.49,"Using Table A.5, we get that
/integr⎬ldispl⎬yπ
6
0secθ=l n |secθ+t a n θ|/vextendsingle/vextendsingle/vextendsingle/vextendsingleπ
6
0
=l n/vextendsingle/vextendsingle/vextendsingle/vextendsinglesecπ
6+t a nπ
6/vextendsingle/vextendsingle/vextendsingle/vextendsingle−ln|sec 0 + tan 0 |.
From Table A.4, we have that sec θ=1
cosθand tan θ=sinθ
cosθ.L o o k i n g a t t h e
limits, we need sin 0 = 0, cos 0 = 1, sinπ
6=1
2,a n dc o sπ
6=√
3
2,w h i c ha r e
standard results. Plugging these in, and using ln1 = 0, yields/integr⎬ltextπ
6
0secθ=l n√
3.
48The trigonometric functions’ names are short for sine, cosine, tangent, cotangent, secant, and
cosecant.
©2021 Timothy Falcon Crack 149 All Rights Reserved Worldwide"
Answer 1.50,"The sum/summ⎬tiontext∞
n=1e−√ntakes the form/summ⎬tiontext∞
n=1an,w h e r e an≡e−√n.
There is a whole host of tests for the convergence of such sums. Before we
look at these, a short review of the terminology is in order.
A“ s e q u e n c e ”i sas e to fn u m b e r s a1,a2,a3,...indexed in a particular order
corresponding to the natural numbers. We may denote the sequence as “ {an}.”
Each number, an, in the sequence is a “term. ” The “limit of a sequence” exists
and is equal to l<∞if the numbers anget closer and closer to lasngets
larger. That is, lim n→∞an=l. If such a limit exists, then the sequence is
said to “converge” to that limit, and the limit is unique. If a sequence does
not converge, then it “diverges. ” There is no mention of additivity here: A
sequence is a succession, not a sum.
A “series” is formed from a sequence via partial sums. Let S1=a1,S2=
a1+a2,S3=a1+a2+a3,a n ds oo n ,s ot h a t Sn=/summ⎬tiontextn
i=1aiis the nth“partial
sum” of the sequence {an}.T h e n t h e s u m/summ⎬tiontext∞
n=1anis referred to as an “inﬁnite
series. ” The inﬁnite series/summ⎬tiontext∞
n=1anis said to be “convergent” if the sequence
of its partial sums {Sn}is convergent.
A necessary (but not suﬃcient) condition for convergence of an inﬁnite series
{an}is that an→0a s n→∞.I n o u r c a s e , an=e−√n→0, so we cannot
reject convergence.
The ﬁrst (of several) formal tests that comes to mind is The Ratio Test (for
series with positive terms only):
©2021 Timothy Falcon Crack 150 All Rights Reserved Worldwide"
Answer 1.51,"The numbers used and the situation described may diﬀer from
question to question, but the general solution technique is always the same.
Factor the product into all possible triplets: (1,2,18), (1,3,12), (1,4,9), (1,6,6),
(2,2,9), (2,3,6), and (3,3,4). Which one is it? Well, Mary knows the sum,
and these potential triplets sum to 21,16,14,13,13,11, and 10, respectively.
Knowing the sum was not suﬃcient for Mary to pin down the triplet, so it
must be a triplet with a non-unique sum: 13 in this case. This cuts down the
candidates to (1,6,6) and (2,2,9). John says the eldest is dyslexic, so there
must be an eldest (ignoring rubbish answers like one twin is 20 minutes older
than the other). That just leaves (2,2,9)."
Answer 1.52,"You know one of the eight balls is heavy. Compare one group of
three to another group of three. You need only one more weighing—for a total
of two weighings."
Answer 1.53,"The sums in Table A.6 are well known (the ﬁrst is discussed ex-
tensively in the answer to Question 1.4).49You should certainly know the ﬁrst
sum by heart, and you should note that the third is the ﬁrst squared.
Table A.6: Sums of k,k2,a n d k3
/summ⎬tiontextn
k=1kn(n+1)
2
/summ⎬tiontextn
k=1k2 n(n+1)(2 n+1)
6
/summ⎬tiontextn
k=1k3 n2(n+1)2
4
Ig i v ef o u rq u i t ed i ﬀ e r e n ts o l u t i o n s .M yﬁ r s ts o l u t i o nu s e sw h a tIh a v en a m e d
a “visual staircase” technique, and almost no algebra. My second solution
uses the binomial theorem and Pascal’s triangle.50My third solution uses a
sensible guess plus induction. My fourth solution is similar, but requires that
you notice, or already know, a special result.
49The fourth-order result is not well known:/summ⎬tiontextn
k=1k4=n(n+1)(2 n+1)(3 n2+3n−1)
30(Spiegel [1968,
p. 108]).
50Pascal’s triangle has the following rows: [1], [1 1],[1 2 1], [ 1 3 3 1], [1 4 6 4 1], and so on.
Apart from the 1’s, each item is the sum of the two items above when stacked like a pyramid. The
(n+ 1)strow gives the coeﬃcients in the polynomial expansion of ( a+b)n.
©2021 Timothy Falcon Crack 153 All Rights Reserved Worldwide"
Answer 1.54,"You win if you can place the last coin on the table and leave no
space for me to place a further coin. A necessary condition is that the table be
radially symmetric. That is, there must exist a central point on the table (at
its center of mass if the table is of uniform density and thickness) such that any
line drawn upon the table passing through this central point is evenly bisected
at this central point. Simple examples are a square, an ellipse, a rectangle, a
circular disc, etc.
You should play ﬁrst and place your ﬁrst quarter at the center of the table.
You should make subsequent moves by imitating me: Place your quarter in the
mirror image of my position when viewed looking through the central point.
This ensures victory because if I can still place a coin on the table, then so
can you.55
Although radial symmetry is necessary, it is not suﬃcient. The strategy does
not necessarily work if the table is a regular shape but not a simply-connected
one; for example, an annulus.56If the table is an annulus and the hole in the
middle is bigger than a quarter, then the only change to your winning strategy
is that you should let me go ﬁrst.
Story: A student of mine was asked “How would you value yourself?” That
is, put a dollar ﬁgure on your value using discounted cash ﬂow analysis."
Answer 1.55,"No, you deﬁnitely cannot tile the 62 squares with the dominoes.
If you cannot see why, then go back and think again before reading on.
55I thank Tim Hoel and Victor H. Lin for this elegant solution technique.
56An “annulus” is a disc with a hole in the center—like a musical compact disc, for example.
An annulus is path connected (any two points may be joined by a line), and is therefore connected
(it cannot be split into two non-empty non-intersecting open sets), but it is not simply connected
(which requires path-connectivity and that any loop may be shrunk continuously within the set).
©2021 Timothy Falcon Crack 160 All Rights Reserved Worldwide"
Answer 1.56,"Deciphering the optimal strategy is analogous to locating an opti-
mal stock price exercise boundary for an American-style option. Calculating
the expected payoﬀ to the game, assuming the optimal strategy, is analogous
to valuing an American-style option. Like valuing an American option, you
have to work backward through a decision tree, calculating the expected pay-
oﬀs to proceeding versus stopping at each node. For two, four, six, and eight
cards, the expected payoﬀ to the game is $1
2,$2
3,$17
20, and $1, respectively,
when following the optimal strategy. The two-card game decision tree is a
sub-tree of the four-card game decision tree, so later results can be appended
to earlier ones. Stop reading here and try to replicate these numbers.
LetRandBdenote the number of red and black cards, respectively, when
you begin play ( R=B=2 6i no u rc a s e ) . L e t randbdenote the number
of red and black cards remaining in the deck at some intermediate stage of
the game when you are trying to decide whether to take another card. You
get +1 for each red card drawn and −1f o re a c hb l a c kc a r dd r a w n ,s oy o u r
current accumulated score is the number of reds drawn so far less the number
of blacks drawn so far: ( R−r)−(B−b). The expected value of the game
V(r, b) is the current accumulated score plus the additional expected value,
if any, remaining in the deck, assuming optimal play. With randbcards
remaining, denote this additional expected value as E(r, b). Thus, the value
of the game is V(r, b)=( R−r)−(B−b)+E(r, b). Simple logic dictates that
57An alternative solution has been suggested to me by Aidong Chen. Let each square on the
board be described by its coordinates ( x, y) for 1 ≤x, y≤8. Any domino covers two adjacent
squares, either ( x, y) and ( x, y+ 1), or ( x, y) and ( x+1,y). If we add those coordinates up, we
get 2 x+2y+ 1 in either case. To tile the 62 remaining squares requires 31 dominoes. If we add
up 31 coordinate sums, each of form 2 x+2y+ 1, we must get an odd number. If we add up the
coordinate sums of the 62 remaining squares, however, we must get an even number (because the
sum of the coordinate sums of all 64 squares is even by symmetry, and the two corners to subtract,
(1,1) and (8,8), have even sums). So, it cannot be done.
©2021 Timothy Falcon Crack 161 All Rights Reserved Worldwide"
Answer 1.57,"Ap r i m en u m b e rh a sn of a c t o r so t h e rt h a ni t s e l fa n d1 . T h u s ,4
is not prime because it has factors: (1,4), and (2,2). Drawing a number line
might be a good way to explain this to an interviewer. I will just use words.
1. A prime pbigger than 2 cannot be an integer multiple of 2, else it would
not be prime. Thus, a prime bigger than 2 must be odd. Thus, p−1i s
even. Thus, p−1=2 nfor some positive integer n.T h u s , p=2n+1 .
58I thank Paul Turner for solving this problem when it was posted as a challenge question on my
web site; any errors are mine.
59I thank David Maslen for the ﬁnal ratio in the table; any errors are mine.
©2021 Timothy Falcon Crack 162 All Rights Reserved Worldwide"
Answer 1.58,"LetBbe your bid. Let Sbe the true value of the ﬁrm. The
density function of Sequals unity for 0 ≤S≤1, and zero otherwise. Your
payoﬀ Pis
P(S)=/⎭r⎬celeft⎜igg
2S−B,ifB>S
0, otherwise .
The maximum post-bid ﬁrm value is 2, so you should bid no more than 2. You
want to maximize E[P(S)] with respect to choice of Bin the interval [0 ,2].
Your expected payoﬀ is
E[P(S)] =/integr⎬ldispl⎬yS=1
S=0P(S)·1·dS
=/integr⎬ldispl⎬yS=min( B,1)
S=0(2S−B)dS
=( S2−BS)/vextendsingle/vextendsingle/vextendsingle/vextendsingleS=min( B,1)
S=0
=/⎭r⎬celeft⎜igg
0,ifB≤1
1−B,ifB>1,
so you should bid less than or equal to 1 and expect to break even.
©2021 Timothy Falcon Crack 164 All Rights Reserved Worldwide"
Answer 1.59,"What is going to happen if you light both ends simultaneously?
The two ﬁzzing sparking ﬂames are going to burn toward each other and meet.
When they meet 60 seconds worth of fuse has been burnt in two sections that
each took the same amount of time. How much time? It has to be exactly
30 seconds because they both took the same time, and these times add to 60
seconds. Of course, you have to bend the fuse so that you can light both ends
simultaneously and when they meet it probably won’t be in the center of the
fuse."
Answer 1.60,"Light Fuse 1 at both ends and simultaneously light Fuse 2 at one
end. As soon as Fuse 1 is burned out (i.e., after 30 seconds), light the other
end of Fuse 2.
θ
rE
start here
SN
Figure A.6: S-E-N Problem: The Earth
Note: The Earth is a perfect sphere with radius E.Y o u s t a r t
your trek one mile north of a line of latitude having circumference
1/nmiles, and radius rmiles (so 2 πr=1/n). You must start
a distance of 1 + E·arcsin1
2πnEmiles from the south pole—see
Answer 1.61."
Answer 1.61,"If your answer is “none” or “one,” then go back and think again.
There are, in fact, an uncountably inﬁnite number of starting points that solve
this problem.
First of all, you could start at the north pole. On the middle leg of your walk
you would always be one mile south of the north pole, so the ﬁnal leg would
put you back where you started. Second, if you start at a point close to the
south pole but one mile north of a line of latitude having circumference one
©2021 Timothy Falcon Crack 165 All Rights Reserved Worldwide"
Answer 1.62,"The king should take one coin from bag one, two coins from bag
two, three coins from bag three, and so on, ﬁnishing with ten coins from bag
ten. Place this collection on the weighing device, and look for the discrepancy
from/summ⎬tiontext10
i=1iounces. If the actual weight is 0.40 ounces short, for example,
then bag four is light, and collector four is the cheat."
